age,potential,value_eur,wage_eur,dribbling,overall,technical_score,value_per_wage,age_potential_gap,tier,cluster
27,95,100500000.0,550000.0,96.0,93,96.0,182.72694049647183,2,Elite,4
29,92,79000000.0,375000.0,91.0,92,91.0,210.66610489038695,0,Elite,4
30,90,54500000.0,275000.0,92.0,90,92.0,198.18109752328172,0,Elite,4
32,90,52500000.0,275000.0,86.0,90,86.0,190.9083966967393,0,Elite,4
28,90,63500000.0,300000.0,62.0,90,62.0,211.66596111346294,0,Elite,4
30,89,36000000.0,250000.0,91.0,89,91.0,143.99942400230398,0,Elite,4
27,91,49500000.0,300000.0,88.0,89,88.0,164.99945000183334,2,Elite,4
30,88,40500000.0,230000.0,83.0,88,83.0,176.08619092960464,0,Elite,4
29,88,39000000.0,200000.0,82.0,88,82.0,194.99902500487497,0,Elite,4
31,88,33000000.0,200000.0,92.0,88,92.0,164.999175004125,0,Elite,4
28,88,46500000.0,250000.0,81.0,88,81.0,185.99925600297598,0,Elite,4
23,90,40500000.0,210000.0,91.0,88,91.0,192.85622449416908,2,Elite,4
30,87,24500000.0,190000.0,83.0,87,83.0,128.94668975426444,0,Elite,4
28,87,31500000.0,220000.0,66.0,87,66.0,143.18116735833019,0,Elite,4
29,87,29000000.0,190000.0,72.0,87,72.0,152.6307756274967,0,Elite,4
28,87,36500000.0,220000.0,89.0,87,89.0,165.90833678028736,0,Elite,4
24,91,39000000.0,200000.0,84.0,87,84.0,194.99902500487497,4,Elite,4
28,87,36500000.0,220000.0,89.0,87,89.0,165.90833678028736,0,Elite,4
25,89,44000000.0,210000.0,85.0,87,85.0,209.5228117961343,2,Elite,4
34,86,15500000.0,160000.0,85.0,86,85.0,96.87439453503416,0,Elite,4
31,86,28500000.0,190000.0,79.0,86,79.0,149.9992105304709,0,Elite,4
28,86,40000000.0,230000.0,83.0,86,83.0,173.91228733788114,0,Elite,4
28,86,31500000.0,220000.0,67.0,86,67.0,143.18116735833019,0,Elite,4
26,87,45500000.0,230000.0,88.0,86,88.0,197.8252268468398,1,Elite,4
25,87,44000000.0,190000.0,87.0,86,87.0,231.57772853827086,1,Elite,4
25,88,35500000.0,200000.0,71.0,86,71.0,177.49911250443748,2,Elite,4
26,88,45500000.0,230000.0,87.0,86,87.0,197.8252268468398,2,Elite,4
25,88,40000000.0,180000.0,86.0,86,86.0,222.22098766117966,2,Elite,4
24,88,39000000.0,200000.0,80.0,86,80.0,194.99902500487497,2,Elite,4
22,91,31000000.0,210000.0,92.0,86,92.0,147.61834467454918,5,Elite,4
22,90,27000000.0,170000.0,62.0,86,62.0,158.82259516120493,4,Elite,4
22,92,35000000.0,190000.0,85.0,86,85.0,184.20955679180636,6,Elite,4
32,85,18000000.0,170000.0,62.0,85,62.0,105.88173010746996,0,Elite,4
30,85,21000000.0,160000.0,87.0,85,87.0,131.2491796926269,0,Elite,4
26,87,27000000.0,200000.0,82.0,85,82.0,134.999325003375,2,Elite,4
27,86,21000000.0,160000.0,62.0,85,62.0,131.2491796926269,1,Elite,4
25,86,21000000.0,160000.0,68.0,85,68.0,131.2491796926269,1,Elite,4
26,86,27000000.0,190000.0,87.0,85,87.0,142.10451523939346,1,Elite,4
27,87,25500000.0,200000.0,80.0,85,80.0,127.49936250318748,2,Elite,4
25,87,26500000.0,170000.0,79.0,85,79.0,155.881435991553,2,Elite,4
27,87,23000000.0,190000.0,81.0,85,81.0,121.05199446318703,2,Elite,4
24,88,23000000.0,170000.0,84.0,85,84.0,135.2933218039894,3,Elite,4
25,86,21000000.0,170000.0,69.0,85,69.0,123.52868512538161,1,Elite,4
25,89,20000000.0,170000.0,75.0,85,75.0,117.64636678607773,4,Elite,4
22,91,21000000.0,150000.0,89.0,85,89.0,139.99906667288886,6,Elite,4
33,84,16500000.0,140000.0,62.0,84,62.0,117.85630102642124,0,Excellent,4
35,84,6000000.0,140000.0,82.0,84,82.0,42.85683673688045,0,Excellent,2
32,84,11500000.0,170000.0,68.0,84,68.0,67.6466609019947,0,Excellent,4
30,84,14500000.0,130000.0,75.0,84,75.0,111.53760355689572,0,Excellent,4
29,84,17500000.0,150000.0,56.0,84,56.0,116.66588889407404,0,Excellent,4
30,84,21000000.0,160000.0,84.0,84,84.0,131.2491796926269,0,Excellent,4
27,88,23000000.0,180000.0,86.0,84,86.0,127.7770679051783,4,Excellent,4
29,84,20000000.0,150000.0,87.0,84,87.0,133.33244445037033,0,Excellent,4
30,84,21000000.0,160000.0,72.0,84,72.0,131.2491796926269,0,Excellent,4
27,89,20500000.0,190000.0,60.0,84,60.0,107.894168978058,5,Excellent,4
27,84,23000000.0,180000.0,81.0,84,81.0,127.7770679051783,0,Excellent,4
27,86,23000000.0,180000.0,86.0,84,86.0,127.7770679051783,2,Excellent,4
26,85,27000000.0,170000.0,80.0,84,80.0,158.82259516120493,1,Excellent,4
27,85,21000000.0,180000.0,62.0,84,62.0,116.66601852211932,1,Excellent,4
27,86,20500000.0,170000.0,64.0,84,64.0,120.58752595572967,2,Excellent,4
27,86,19500000.0,180000.0,65.0,84,65.0,108.33273148482509,2,Excellent,4
28,84,19000000.0,180000.0,60.0,84,60.0,105.55496913906033,0,Excellent,4
25,88,26500000.0,170000.0,87.0,84,87.0,155.881435991553,4,Excellent,4
22,87,21000000.0,150000.0,85.0,84,85.0,139.99906667288886,3,Excellent,4
33,83,11500000.0,100000.0,62.0,83,62.0,114.99885001149988,0,Excellent,2
33,83,7000000.0,100000.0,52.0,83,52.0,69.99930000699993,0,Excellent,2
29,83,12500000.0,130000.0,48.0,83,48.0,96.15310651456527,0,Excellent,4
30,83,10500000.0,90000.0,71.0,83,71.0,116.6653703847735,0,Excellent,2
31,83,10000000.0,130000.0,59.0,83,59.0,76.92248521165222,0,Excellent,2
33,83,7000000.0,100000.0,59.0,83,59.0,69.99930000699993,0,Excellent,2
32,83,9000000.0,130000.0,51.0,83,51.0,69.23023669048699,0,Excellent,2
30,83,11500000.0,130000.0,69.0,83,69.0,88.46085799340005,0,Excellent,2
28,83,17000000.0,140000.0,77.0,83,77.0,121.42770408782795,0,Excellent,4
31,83,10000000.0,140000.0,83.0,83,83.0,71.42806122813408,0,Excellent,2
28,83,15500000.0,150000.0,84.0,83,84.0,103.332644449037,0,Excellent,4
32,83,13000000.0,130000.0,62.0,83,62.0,99.99923077514788,0,Excellent,4
28,83,15500000.0,150000.0,62.0,83,62.0,103.332644449037,0,Excellent,4
29,83,14500000.0,130000.0,84.0,83,84.0,111.53760355689572,0,Excellent,4
27,83,16500000.0,110000.0,82.0,83,82.0,149.99863637603295,0,Excellent,4
29,83,16000000.0,120000.0,62.0,83,62.0,133.3322222314814,0,Excellent,4
27,84,15000000.0,130000.0,62.0,83,62.0,115.38372781747833,1,Excellent,4
29,83,12500000.0,130000.0,57.0,83,57.0,96.15310651456527,0,Excellent,4
26,84,19500000.0,160000.0,81.0,83,81.0,121.87423828601071,1,Excellent,4
27,85,14500000.0,150000.0,64.0,83,64.0,96.66602222651849,2,Excellent,4
27,85,14000000.0,150000.0,76.0,83,76.0,93.33271111525923,2,Excellent,4
24,86,18500000.0,120000.0,81.0,83,81.0,154.16538195515037,3,Excellent,4
28,83,15500000.0,150000.0,83.0,83,83.0,103.332644449037,0,Excellent,4
27,84,18500000.0,130000.0,84.0,83,84.0,142.3065976415566,1,Excellent,4
31,83,14000000.0,120000.0,62.0,83,62.0,116.66569445254623,0,Excellent,4
24,86,16500000.0,110000.0,84.0,83,84.0,149.99863637603295,3,Excellent,4
28,83,17000000.0,160000.0,78.0,83,78.0,106.24933594165036,0,Excellent,4
28,83,17000000.0,160000.0,75.0,83,75.0,106.24933594165036,0,Excellent,4
23,86,15000000.0,130000.0,80.0,83,80.0,115.38372781747833,3,Excellent,4
23,87,15000000.0,130000.0,86.0,83,86.0,115.38372781747833,4,Excellent,4
25,83,19000000.0,140000.0,88.0,83,88.0,135.71331633345477,0,Excellent,4
27,83,18500000.0,160000.0,81.0,83,81.0,115.62427734826657,0,Excellent,4
26,86,18000000.0,160000.0,84.0,83,84.0,112.4992968793945,3,Excellent,4
23,87,13500000.0,130000.0,62.0,83,62.0,103.84535503573049,4,Excellent,4
26,87,18000000.0,130000.0,87.0,83,87.0,138.46047338097398,4,Excellent,4
21,89,13500000.0,120000.0,83.0,83,83.0,112.49906250781244,6,Excellent,4
22,88,15000000.0,120000.0,86.0,83,86.0,124.99895834201382,5,Excellent,4
36,82,7000000.0,110000.0,62.0,82,62.0,63.6357851292261,0,Excellent,2
34,82,3900000.0,100000.0,75.0,82,75.0,38.99961000389996,0,Excellent,2
35,82,9500000.0,60000.0,62.0,82,62.0,158.3306944884252,0,Excellent,2
30,82,13500000.0,130000.0,84.0,82,84.0,103.84535503573049,0,Excellent,4
34,82,10500000.0,100000.0,62.0,82,62.0,104.9989500104999,0,Excellent,2
31,82,9500000.0,130000.0,73.0,82,73.0,73.0763609510696,0,Excellent,2
29,82,16000000.0,80000.0,62.0,82,62.0,199.99750003124961,0,Excellent,4
32,82,9000000.0,130000.0,55.0,82,55.0,69.23023669048699,0,Excellent,2
29,82,16000000.0,140000.0,85.0,82,85.0,114.28489796501454,0,Excellent,4
29,82,12500000.0,130000.0,75.0,82,75.0,96.15310651456527,0,Excellent,4
30,82,13500000.0,130000.0,76.0,82,76.0,103.84535503573049,0,Excellent,4
28,82,17000000.0,140000.0,70.0,82,70.0,121.42770408782795,0,Excellent,4
27,83,15000000.0,150000.0,62.0,82,62.0,99.99933333777774,1,Excellent,4
32,82,13000000.0,130000.0,84.0,82,84.0,99.99923077514788,0,Excellent,4
30,82,11500000.0,130000.0,71.0,82,71.0,88.46085799340005,0,Excellent,2
29,82,14500000.0,140000.0,85.0,82,85.0,103.57068878079443,0,Excellent,4
29,82,14500000.0,100000.0,81.0,82,81.0,144.99855001449984,0,Excellent,4
27,84,18500000.0,140000.0,84.0,82,84.0,132.14191327204804,2,Excellent,4
29,82,12500000.0,90000.0,77.0,82,77.0,138.88734569615895,0,Excellent,2
29,82,16000000.0,130000.0,62.0,82,62.0,123.07597633864354,0,Excellent,4
28,82,13500000.0,140000.0,78.0,82,78.0,96.42788265798102,0,Excellent,4
28,82,15500000.0,150000.0,83.0,82,83.0,103.332644449037,0,Excellent,4
25,87,19000000.0,120000.0,85.0,82,85.0,158.33201389988417,5,Excellent,4
26,86,19500000.0,140000.0,81.0,82,81.0,139.28471939486147,4,Excellent,4
27,84,15000000.0,100000.0,62.0,82,62.0,149.99850001499985,2,Excellent,4
27,84,14500000.0,130000.0,69.0,82,69.0,111.53760355689572,2,Excellent,4
26,84,16000000.0,140000.0,65.0,82,65.0,114.28489796501454,2,Excellent,4
26,83,16000000.0,130000.0,62.0,82,62.0,123.07597633864354,1,Excellent,4
29,82,12500000.0,120000.0,74.0,82,74.0,104.16579861834485,0,Excellent,4
27,85,18500000.0,130000.0,87.0,82,87.0,142.3065976415566,3,Excellent,4
26,85,16000000.0,150000.0,84.0,82,84.0,106.66595556029627,3,Excellent,4
26,84,16000000.0,140000.0,65.0,82,65.0,114.28489796501454,2,Excellent,4
27,83,14500000.0,160000.0,72.0,82,72.0,90.62443359729002,1,Excellent,4
